"Title","Author","indivauthor","Publication","Type","Year"
"What is a point in hockey as a team statistic? - Sabre Noise","Todd Matthews","Y","Sabre Noise","Blog",2024
"Using analytics to maximize your fantasy hockey league’s scoring system - Daily Faceoff","Scott Maxwell","Y","Daily Faceoff","Website",2024
"Hurricanes hire Tyler Dellow as assistant general manager - Sportsnet.ca","Sportsnet Staff","N","Sportsnet.ca","Website",2024
"The Future of Hockey: How Technology and Analytics Impact the Game - MayorsManor.com - LA Kings News","Dan Adkisson","Y","MayorsManor.com - LA Kings News","Website",2024
"Bruins show multiple red flags, per private NHL analytics data - The New York Times","Fluto Shinzawa","Y","The New York Times","News",2024
"Canucks well-placed for success in 2024-25 according to analytics site - The Canuck Way","Paul Taylor","Y","The Canuck Way","Blog",2024
"Inside Scott Arniel’s analytics summit and his aim to elevate unbeaten Winnipeg Jets - The Athletic - The New York Times","Murat Ates","Y","The New York Times","News",2024
"Penguins Hockey Research and Development Department Launches Fellowship and Internship Program - NHL.com","Pittsburgh Penguins","N","NHL.com","Team/League Source",2024
"Your Ultimate Guide to Understanding Hockey Analytics (sponsored post) - Hudson Valley One","Hudson Valley One Staff","N","Hudson Valley One","Website",2024
"SEG Media Teams Up with the NHL to Present The Lab, a Data-Driven Alternative Livestream Broadcast - NHL.com","Utah Mammoth","N","NHL.com","Team/League Source",2024
"Analytics proving valuable tool for coaches to identify what's working, needs improvement - NHL.com","Craig Johnson","Y","NHL.com","Team/League Source",2025
"OHL Partners with Drive Hockey Analytics to Introduce Smart Arena Technology to Inaugural Connor McDavid OHL Top Prospects Game – Ontario Hockey League - Canadian Hockey League","OHL","N","Canadian Hockey League","Team/League Source",2025
"How Analytics Shaped the Strategies of NHL Championship-Winning Teams - Pro Hockey News","Pro Hockey News Staff","N","Pro Hockey News","Website",2025
"Dubas’s Numbers vs. Reality; A Lot Riding on Next Decisions - Pittsburgh Hockey Now","Dan Kingerski","Y","Pittsburgh Hockey Now","Website",2025
"The Intangible Game: Beyond Stats in Hockey - thesickpodcast.com","Jd Lagrange; James Murphy; Nick Lariviere","Y","thesickpodcast.com","Blog",2025
"New statistics emerge to re-evaluate hockey’s defencemen - The Globe and Mail","Jared Lindzon","Y","The Globe and Mail","News",2025
"The Evolution of NHL Analytics and Its Impact on Modern Hockey - The Win Column","Luke Turner","Y","The Win Column","Website",2025
"4 Nations Face-Off: Revolutionizing hockey analytics with AWS | Amazon Web Services - Amazon Web Services (AWS)","Lisa Epstein","Y","Amazon Web Services (AWS)","Website",2025
"Islanders Goaltender Ilya Sorokin & The Analytics Debate - The Hockey News","Michael Ostrower","Y","The Hockey News","Website",2025
"Stimulating hockey performance with Canadian sports data science - BNN Bloomberg","Aleksa Cosovic","Y","BNN Bloomberg","News",2025
"From stats to slapshots: Blue Jackets announce hockey analytics conference - NHL.com","Blue Jackets Staff","N","NHL.com","Team/League Source",2025
"How I Turned Millions of Hockey Data Points Into a Multi-Million Dollar Business - Canadian Business","Meghan Chayka","Y","Canadian Business","Website",2025
"Opinion: Analytics used to disqualify Makar are easily explained - Mile High Hockey","Adrian Hernandez","Y","Mile High Hockey","Blog",2025
"Coaches, players differ on how Nashville Predators can use analytics to improve - The Tennessean","Alex Daugherty","Y","The Tennessean","News",2025
"Hudl Expands Its Professional Suite of Basketball and Ice Hockey Analysis Tools with FastModel - Hudl","HUDL","N","Hudl","Website",2025
"Edmonton Oilers' Knoblauch speaks on importance of analytics in coaching - Daily Hive","Preston Hodgkinson","Y","Daily Hive","Website",2025
"A Winning Collaboration: How an Internship Program is Connecting Top Data Science Students to UConn Sports Teams - UConn Today","University of Connecticut","N","UConn Today","Website",2025
"NHL outsider Eric Tulsky, an Ivy League scientist, is changing what it means to be a GM - The Athletic - The New York Times","James Mirtle","Y","The New York Times","News",2025
"The Evolution of NHL Analytics and Its Impact on Modern Hockey - The Times of India","TOI Sports Desk","N","The Times of India","News",2025
"Analytics making the case for Quinton Byfield to be considered among NHL best - Rink Royalty","Brandon Croce","Y","Rink Royalty","Website",2025
"Why analytics darling Taylor Hall has found a perfect home with the Hurricanes - The New York Times","James Mirtle","Y","The New York Times","News",2025
"How the Canucks' analytics department stacks up against Stanley Cup contenders - The Province","Patrick Johnston","Y","The Province","Website",2025
"Strome resident 'hockey nerd,' playmaker for Capitals ahead of 2nd round against Hurricanes - NHL.com","Tom Gulitti","Y","NHL.com","Team/League Source",2025
"The Evolution of Analytics in the NHL: Case Study: Toronto Maple Leafs - burlingtongazette.ca","Alexander Blanchet","Y","burlingtongazette.ca","News",2025
"Sharks Exploring Use of AI Coaching for Specific On-Ice Sequences - Sharks Hockey Digest","Max Miller","Y","Sharks Hockey Digest","Blog",2025
"Florida Panthers’ Consistency Brings Analytics Conversation to Light - The Hockey Writers","Daniel Amoia","Y","The Hockey Writers","Website",2025
"OMHA Renews Partnership with Hudl as Exclusive Video & Analytics Partner - Ontario Minor Hockey Association","Ontario Minor Hockey Association","N","Ontario Minor Hockey Association","Website",2025
"Advanced Hockey Stats for Bettors: Corsi vs Fenwick & Beyond - Sports Betting Dime","Patrick Cwiklinski","Y","Sports Betting Dime","Website",2025
"Sunny Mehta’s Analytics powers Florida Panthers to retain Stanley Cup - The Indian EYE","The Indian Eye","N","The Indian EYE","Website",2025
"Analytics Advantage: Changes to NHL Draft Trends Including Player Size, Production by Overall Pick, and More - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2025
"Drive Hockey Analytics at Player Development Combine - USHL","USHL","N","USHL","Website",2025
"5 Fascinating Statistics About the Canadiens and Maple Leafs Rivalry - Yahoo Sports","Ryan Gagne","Y","Yahoo Sports","Website",2024
"NHL Giveaway & Takeaway Stats Shouldn’t Be Trusted - The Hockey Writers","Daniel Amoia","Y","The Hockey Writers","Website",2024
"Eight early-season NHL stats that actually mean something - Daily Faceoff","Matt Larkin","Y","Daily Faceoff","Website",2024
"NHL partners with VAST Data to accelerate, streamline media production - NHL.com","NHL Public Relations","N","NHL.com","Team/League Source",2024
"Inside The Numbers: Penguins Continue To Have NHL's Worst Goalie Statistics - The Hockey News","Ryan Gagne","Y","The Hockey News","Website",2024
"Is there really a home-ice advantage in the NHL? - Sound Of Hockey","Blaiz Grubic","Y","Sound Of Hockey","Blog",2025
"Outaouais hockey league seeks culprit behind sneaky stats tampering - CBC","CBC News","N","CBC","News",2025
"Top eight statistical storylines to watch on the NHL’s stretch drive - Daily Faceoff","Paul Pidutti","Y","Daily Faceoff","Website",2025
"A data-driven look at the 2025 NHL Draft top prospects - Sound Of Hockey","Curtis Isacke","Y","Sound Of Hockey","Blog",2025
"Which Statistic is the Best Predictor of Success in the NHL Playoffs? - Oilers Nation","Jason Gregor","Y","Oilers Nation","Blog",2025
"How Oddsmakers Use NHL Stats to Decide the Betting Odds - MayorsManor.com - LA Kings News","Dan Adkisson","Y","MayorsManor.com - LA Kings News","Website",2025
"Drive Hockey Analytics Secures Additional $240K in Grants to Accelerate Innovation and IP Portfolio - TMX Newsfile","Drive Hockey Analytics","N","TMX Newsfile","News",2025
"Were the Edmonton Oilers’ summer moves supported by analytics? - The New York Times","Allan Mitchell","Y","The New York Times","News",2025
"Analytics Advantage: The NHL’s Changing Landscape Across Goal Scoring, Shots, and Efficiency - DobberHockey","Stas Pupkov","Y","DobberHockey","Website",2025
"How Data Analytics Is Changing the Game for the Montreal Canadiens - DansLesCoulisses.com","Danslescoulisses.com","N","DansLesCoulisses.com","Website",2025
"Uncannily Accurate Hockey Analytics Site Favors Carolina Hurricanes Again In 2025-26 - North Carolina Sports Network","David Glenn","Y","North Carolina Sports Network","Website",2025
"New-look NHL EDGE site has ‘advanced stats for everybody’ - NHL.com","NHL","N","NHL.com","Team/League Source",2025
"How Spencer Carbery approaches hockey statistics, the ‘eye test,’ and the Capitals’ analytics staff - RMNB","Chris Cerullo","Y","RMNB","Blog",2025
"St. Louis Blues’ Armstrong talks growth of team’s analytics department - Sports Business Journal","Matthew DeFrankis","Y","Sports Business Journal","News",2025
"North Carolina firm powers NHL's real-time stats - The Business Journals","Lauren Ohnesorge","Y","The Business Journals","Website",2025
"Who analytics says is the best Maple Leafs player so far this season - Editor In Leaf","Thomas Williams","Y","Editor In Leaf","Blog",2025
"How Advanced Analytics Shape NHL Team Success - The Win Column","Luke Turner","Y","The Win Column","Website",2025
"How AI can track hockey action from faceoff to finish - University of Waterloo","Media Relations","Y","University of Waterloo","Website",2025
"Hockey analytics pioneer Tim Barnes promoted to assistant general manager by Washington Capitals - RMNB","Chris Cerullo","Y","RMNB","Blog",2025
"‘Cigarettes and cashews’: Foote hilariously claps back at publicly-available analytics - Canucks Army","Tyler Kuehl","Y","Canucks Army","Blog",2025
"Cancucks Coach Adam Foote Hilariously Rips Stat Nerds Having 'Cashews And Cigarettes' - Fox News","Matt Reigle","Y","Fox News","Website",2025
"Data Is Important, Brayden Schenn Feels Analytics Don't Always Paint Picture, Haven't For Blues In Young Season - The Hockey News","Lou Korac","Y","The Hockey News","Website",2025
"Analytics paint Edmonton Oilers as one of the unluckiest teams in NHL - Daily Hive","Preston Hodgkinson","Y","Daily Hive","Website",2025
"Penguins' Third Line - Led By Rookie Ben Kindel - Thriving In Key Analytics Category - The Hockey News","Kelsey Surmacz","Y","The Hockey News","Website",2025
"The Capitals are better analytically this season than they were during the 2024-25 campaign, but aren’t winning games: ‘It really tests us as coaches to stay with our process’ - RMNB","Chris Cerullo","Y","RMNB","Blog",2025
"Analytics suggest the Vancouver Canucks are the NHL's worst team - Daily Hive","Trevor Beggs","Y","Daily Hive","Website",2025
"Are the Blackhawks better than numbers suggest? A public vs. private analytics debate - The Athletic - The New York Times","Mark Lazerus; Dom Luszczyszyn","Y","The New York Times","News",2025
"At USA Hockey, Using Data to Score With ‘Thoughtful’ Growth - WSJ","Josh Hyatt; John Labate","Y","WSJ","News",2025
"Analytics show Caps’ Hendrix Lapierre is thriving. His production doesn’t. - The Washington Post","Bailey Johnson","Y","The Washington Post","News",2025
"NHL xG analytics explained: Which teams are over-performing or under-performing this season? - The Win Column","Luke Turner","Y","The Win Column","Website",2025
"Introducing the Hockey Analytics League Operations (HALO) Meetings & Conference 2026 - NHL.com","Colorado Avalanche","N","NHL.com","Team/League Source",2026
"Avalanche To Host Inaugural Hockey Analytics League Operations (HALO) Conference - Yahoo Sports","Ryan O’Hara","Y","Yahoo Sports","Website",2026
"Teamworks Acquires Sportlogiq to Expand Its AI-Powered Intelligence Platform - Teamworks","Teamworks","N","Teamworks","Website",2026
"Teamworks acquires Sportlogiq to bolster AI capabilities, hockey user base - Sports Business Journal","Joe Lemire","Y","Sports Business Journal","News",2026
"How NHL Player Prop Bets Evolve With Advanced Analytics in the Modern Era - Pro Hockey News","Pro Hockey News Staff","N","Pro Hockey News","Website",2026
"Teamworks, the “operating system for sports,” buys hockey analytics platform Sportlogiq - BetaKit","Alex Riehl; Madison Mclauchlan; Jesse Cole","Y","BetaKit","Website",2026
"Teamworks acquires AI sports analytics platform Sportlogiq - Broadcast","Jake Bickerton","Y","Broadcast","News",2026
"Edmonton Oilers actively hiring for three jobs in analytics department - Daily Hive","Preston Hodgkinson","Y","Daily Hive","Website",2026
